timeString,timestamp,waitTimeString,waitTime,address,name
20201029 02:04 PM,2020-10-29T21:04Z,30 Min,30,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 02:04 PM,2020-10-29T21:04Z,45 Min,45,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 02:05 PM,2020-10-29T21:05Z,15 Min,15,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 02:05 PM,2020-10-29T21:05Z,20 Min,20,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 02:06 PM,2020-10-29T21:06Z,15 Min,15,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 02:09 PM,2020-10-29T21:09Z,25 Min,25,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201029 02:09 PM,2020-10-29T21:09Z,30 Min,30,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 02:07 PM,2020-10-29T21:07Z,30 Min,30,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 02:11 PM,2020-10-29T21:11Z,30 Min,30,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 02:57 PM,2020-10-29T21:57Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 02:58 PM,2020-10-29T21:58Z,20 Min,20,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 03:21 PM,2020-10-29T22:21Z,45 Min,45,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 03:26 PM,2020-10-29T22:26Z,45 Min,45,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 03:32 PM,2020-10-29T22:32Z,20 Min,20,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 03:40 PM,2020-10-29T22:40Z,25 Min,25,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201029 04:04 PM,2020-10-29T23:04Z,15 Min,15,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 03:33 PM,2020-10-29T22:33Z,45 Min,45,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 03:56 PM,2020-10-29T22:56Z,20 Min,20,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 03:33 PM,2020-10-29T22:33Z,25 Min,25,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 03:33 PM,2020-10-29T22:33Z,30 Min,30,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 03:32 PM,2020-10-29T22:32Z,30 Min,30,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 03:59 PM,2020-10-29T22:59Z,1 Hr 30 Min,90,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 04:08 PM,2020-10-29T23:08Z,10 Min,10,"455 Grayson Highway, Suite 200, Lawrenceville",Gwinnett Voter Registrations & Elections Office
20201029 04:10 PM,2020-10-29T23:10Z,40 Min,40,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 04:52 PM,2020-10-29T23:52Z,25 Min,25,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 05:04 PM,2020-10-30T00:04Z,1 Hr,60,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 05:25 PM,2020-10-30T00:25Z,20 Min,20,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 05:09 PM,2020-10-30T00:09Z,35 Min,35,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 05:36 PM,2020-10-30T00:36Z,30 Min,30,"2723 North Bogan Rd, Buford",Bogan Park Community Recreation Center
20201029 05:44 PM,2020-10-30T00:44Z,35 Min,35,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
20201029 05:36 PM,2020-10-30T00:36Z,30 Min,30,"55 Buford Highway, Suwanee",George Pierce Park Community Recreation Center
20201029 05:56 PM,2020-10-30T00:56Z,30 Min,30,"2405 Sugarloaf Parkway, Lawrenceville",Gwinnett County Fairgrounds
20201029 05:37 PM,2020-10-30T00:37Z,25 Min,25,"4515 Lenora Church Rd, Snellville",Lenora Park Gym
20201029 05:42 PM,2020-10-30T00:42Z,1 Hr,60,"4651 Britt Rd, Norcross",Lucky Shoals Park Community Recreation Center
20201029 05:41 PM,2020-10-30T00:41Z,40 Min,40,"1063 Rockbridge Rd, Stone Mountain",Mountain Park Activity Building
20201029 05:37 PM,2020-10-30T00:37Z,1 Hr,60,"2750 Pleasant Hill Rd, Duluth",Shorty Howell Park Activity Building
20201029 06:26 PM,2020-10-30T01:26Z,50 Min,50,"2735 Old Auburn Rd, Dacula",Dacula Park Activity Building
